id xcenter ycenter aperture_sum
101 1785.8109 58.010345 441.79509
102 163.11622 59.110257 203.30582
103 500.91701 58.53117 411.58479
104 584.83209 58.803892 372.46813
105 678.71514 60.274959 4016.8985
106 1285.9544 59.904716 1911.1594
107 1528.3844 60.510501 530.36714
108 77.804055 61.839553 31185.117
109 285.21121 62.507671 5978.3825
110 527.72732 62.699582 301.30068
111 1000.675 62.639615 2209.3998
112 1611.6686 63.936731 1135.1782
113 1623.4108 62.644685 806.73068
114 1604.004 63.856302 1985.6911
115 1972.0852 64.831214 257.20615
116 104.98574 65.893571 711.05501
117 650.49931 66.031032 450.33487
118 728.82928 67.178119 438.70912
119 118.03436 68.300955 292.37931
120 216.86221 67.66178 468.82177
121 849.35873 67.384999 394.28943
122 142.43272 69.607369 2036.2404
123 1164.7611 70.309918 2965.3394
124 236.9391 70.805557 1614.6617
125 863.06097 71.582952 510.0948
126 607.63429 72.478346 840.61216
127 1271.5322 72.541315 626.55513
128 320.73237 73.530932 420.75629
129 1620.6058 76.058716 871.8095
130 1454.497 76.944032 3190.6924
131 1839.2972 77.330464 703.68224
132 937.43116 77.981624 659.65837
133 1311.3926 78.089003 759.33119
134 1422.7537 77.600127 8744.2378
135 1489.5219 78.341186 134.63228
136 595.16194 79.047659 1103.3689
137 517.86258 80.658368 855.83121
138 1087.1329 80.066377 1042.3955
139 1412.3589 80.295694 2172.3196
140 404.18998 81.077022 611.97761
141 698.07229 81.469648 3985.8051
142 481.65347 82.156529 821.19488
143 1347.8119 82.638873 1319.1538
144 1420.2095 81.655435 2886.0035
145 1121.5423 83.190599 4551.6935
146 1294.2773 83.374591 461.67473
147 750.08697 84.871521 437.27814
148 1204.8987 85.156074 728.38067
149 1401.3562 84.790545 671.34724
150 1637.4445 85.329703 91.048169
151 76.533615 86.357582 492.73648
152 1293.5247 87.12133 467.6866
153 1311.5572 86.761607 1155.7277
154 1321.8958 86.943989 179.62968
155 1455.9116 87.095531 698.36432
156 266.29314 87.782542 626.79477
157 1673.5857 89.453604 517.31217
158 711.95405 91.476815 1758.0719
159 1235.79 91.268586 21634.883
160 1883.1516 90.908636 558.26234
161 1927.2687 90.914517 3368.652
162 1589.465 91.723181 550.98972
163 1177.9712 92.822555 66359.659
164 728.27879 94.404987 1813.8937
165 28.845396 95.099409 783.99382
166 307.93247 95.534098 1585.5768
167 432.87968 94.840261 59.731141
168 477.56791 95.13758 8466.4798
169 1738.7761 96.071815 156.39184
170 234.75305 97.204359 308.00989
171 2044.0557 96.39943 -1386.8651
172 710.72452 98.144116 270.71485
173 1580.1496 98.171845 1214.9746
174 1774.0921 99.466818 1305.3725
175 874.96951 100.05737 407.61666
176 1298.0201 99.937145 681.30174
177 1636.3596 100.39902 1206.4006
178 1726.2954 100.55728 553.49157
179 2044.0167 100.90146 -1415.0612
180 707.30728 102.41816 316.19735
181 1561.234 102.70904 2334.6319
182 2009.1224 102.87294 2754.9697
183 2029.9992 103.43437 2885.0817
184 329.23825 104.32797 4563.7835
185 378.34256 103.9772 1381.2575
186 1996.5849 103.92079 22837.849
187 214.9181 104.97049 11927.071
188 461.6329 104.71855 2616.5804
189 1432.4321 105.25302 916.57699
190 1572.08 105.12385 700.13128
191 1605.4039 105.15073 3089.0496
192 1392.0174 106.24877 417.60362
193 1556.0622 105.88553 375.95502
194 1682.4208 105.73102 238.4332
195 1933.3327 106.03069 2540.0771
196 824.08083 107.51417 4451.7819
197 1884.6362 106.48157 946.19009
198 1731.4393 107.51062 345.52714
199 1564.7665 108.61509 958.05395
200 93.396291 110.20817 406.21168
201 1108.2149 109.78565 1217.2052
202 1114.0881 109.63786 6761.2977
203 1347.2745 112.96069 670.13323
204 557.00527 114.35015 44152.571
205 748.68872 114.01913 733.56015
206 1739.9345 115.02352 4149.9117
207 1249.1029 115.652 16730.034
208 986.05232 117.17035 159.20353
209 981.79505 118.36826 546.8229
210 1168.2382 117.97809 201.91575
211 1690.0651 117.72034 948.21796
212 1279.9924 119.29408 335.83426
213 1899.166 119.48701 851.21329
214 867.24972 120.09256 548.73705
215 1509.6065 119.81536 4472.765
216 1115.9205 123.48136 441.52468
217 1630.6541 123.12777 549.47367
218 194.71926 125.2979 1367.3054
219 1149.4496 124.59445 2735.7681
220 1005.2286 126.82354 967.88238
221 923.08775 127.53572 634.43114
222 861.60096 129.00608 614.76251
223 903.96756 129.22288 149.76998
224 1719.9404 128.57807 711.97175
225 164.49557 129.72006 809.39803
226 1271.3179 130.50922 725.23734
227 1262.5353 131.48976 256.49692
228 1289.4516 130.74939 624.12479
229 1581.1685 131.24004 5736.497
230 1676.3507 130.54702 663.17714
231 1489.581 133.9037 1400.0271
232 546.05568 135.25361 1328.1581
233 952.85243 135.20535 1811.7151
234 1122.2086 135.24641 1890.6876
235 1202.1106 135.53587 16.378885
236 1391.9843 136.249 1040.4328
237 808.29221 136.73673 1706.54
238 1229.9264 137.53535 333.23696
239 6.0665948 139.53354 4266.0679
240 950.85347 137.72841 1579.1744
241 1180.8454 139.02393 5473.3217
242 754.74719 139.82861 22692.068
243 191.06407 141.96372 334.18769
244 677.97841 143.25007 659.11488
245 1032.6608 142.92445 2402.8905
246 566.27487 144.27315 5644.8304
247 1258.0992 145.11626 1878.8068
248 1967.0397 145.13999 1284.4404
249 932.37745 145.81581 757.44826
250 1222.4134 145.88665 581.74826
251 2003.1946 145.90465 534.14845
252 2019.1398 146.01426 119.46977
253 1664.2337 147.30131 1891.1759
254 1753.2389 146.64223 266.25301
255 1300.5242 148.51914 10666.561
256 952.03968 148.52869 1294.5481
257 780.59751 149.88564 17029.098
258 188.7015 150.77475 1708.0118
259 1133.0942 151.01468 503.13928
260 1254.4697 150.71605 1866.5909
261 1293.7528 150.83221 638.86762
262 711.24238 151.96357 30713.272
263 994.49615 151.95135 2208.8918
264 1288.3565 153.2627 882.09411
265 1420.7099 153.07118 572.3706
266 1572.3836 152.9478 13276.494
267 117.86986 154.05573 247.44935
268 503.14268 153.65806 242.69221
269 925.33995 153.98184 756.94652
270 7.0533631 154.61475 7358.5607
271 671.26045 154.3625 29.461773
272 739.16516 155.32231 652.26168
273 785.89031 154.5296 294511.18
