Wavelength,Flux,BestFit,SkyFlux
4120.027,35.761,34.078,4.366
4120.975,33.076,37.424,4.736
4121.923,33.296,39.594,4.751
4122.874,35.273,37.298,4.899
4123.822,34.955,37.324,5.537
4124.773,35.558,38.579,6.009
4125.722,31.142,39.996,5.851
4126.673,33.96,38.853,5.441
4127.623,34.885,37.325,5.289
4128.572,37.336,38.285,5.461
4129.524,38.358,37.503,5.775
4130.474,34.343,38.333,5.737
4131.427,37.35,38.905,5.43
4132.377,32.602,37.866,5.888
4133.33,31.555,36.969,6.164
4134.281,36.002,37.924,6.177
4135.232,31.329,38.123,6.113
4136.186,29.088,38,6.177
4137.137,34.033,36.715,6.17
4138.091,32.957,35.404,5.854
4139.043,30.894,35.796,5.629
4139.998,32.015,37.087,5.621
4140.95,29.758,34.862,5.401
4141.903,30.716,32.109,4.991
4142.858,32.135,31.237,4.622
4143.811,32.761,30.555,4.415
4144.766,32.562,28.49,4.281
4145.72,28.808,25.224,4.714
4146.676,27.356,22.259,5.226
4147.63,24.829,21.974,5.012
4148.584,22.629,20.226,4.548
4149.541,24.604,18.955,4.471
4150.495,27.52,20.724,4.744
4151.452,26.75,24.589,4.561
4152.407,27.827,26.156,4.397
4153.365,32.315,24.07,4.865
4154.32,27.543,22.857,5.298
4155.276,25.711,21.3,6.114
4156.234,25.7,21.075,6.461
4157.19,26.565,24.127,6.321
4158.149,26.887,24.74,6.344
4159.106,27.38,25.958,6.26
4160.065,29.517,28.114,6.09
4161.022,31.575,30.96,6.156
4161.979,32.341,32.811,6.439
4162.939,34.738,32.822,6.738
4163.896,34.999,33.748,7.153
4164.857,33.615,33.711,7.882
4165.815,36.894,34.576,8.629
4166.775,32.359,35.674,8.198
4167.734,32.813,36.47,7.763
4168.693,35.285,37.096,7.763
4169.654,34.537,37.019,7.84
4170.613,34.925,37.255,7.678
4171.575,38.072,38.968,7.387
4172.535,37.574,40.776,7.164
4173.497,34.047,40.184,7.125
4174.457,37.425,38.111,6.642
4175.417,35.573,40.574,5.944
4176.38,33.081,40.709,6.174
4177.341,41.125,41.297,6.468
4178.304,34.692,39.65,6.252
4179.265,35.957,36.871,6.351
4180.229,38.864,37.488,6.442
4181.191,38.376,39.928,6.212
4182.155,37.688,38.347,6.02
4183.117,35.656,39.574,5.538
4184.079,37.979,41.078,4.977
4185.044,37.485,41.097,4.936
4186.007,38.728,40.862,5.496
4186.972,38.385,39.264,5.162
4187.935,37.54,38.251,4.644
4188.901,37.9,38.083,4.782
4189.865,36.635,37.787,5.046
4190.829,36.037,37.722,5.268
4191.795,37.445,38.353,5.323
4192.759,38.236,38.106,5.336
4193.726,36.703,39.688,5.402
4194.691,34.969,39.842,5.409
4195.658,36.373,40.423,5.084
4196.624,37.35,41.239,4.658
4197.589,41.639,40.241,4.278
4198.557,35.763,39.341,3.844
4199.523,38.366,38.679,3.883
4200.491,38.975,40.93,4.492
4201.457,35.585,43.72,4.677
4202.426,37.693,44.002,4.278
4203.393,40.976,42.097,4.032
4204.36,38.792,42.411,4.148
4205.33,38.487,44.459,4.359
4206.297,36.716,40.743,4.69
4207.267,37.767,36.802,5.133
4208.235,39.288,37.276,5.28
4209.205,36.71,39.377,5.434
4210.174,37.286,37.936,5.331
4211.142,33.795,38.039,4.675
4212.113,37.484,39.568,4.055
4213.082,38.765,40.247,4.155
4214.054,35.877,39.457,4.472
4215.023,35.633,37.977,4.23
4215.995,34.653,36.214,3.91
4216.965,36.412,37.129,4.013
4217.935,33.777,38.905,4.061
4218.908,41.077,38.694,4.04
4219.878,36.184,38.136,4.047
4220.851,35.989,40.133,4.064
4221.822,37.817,41.702,4.139
4222.796,37.849,42.402,4.299
4223.767,35.246,44.136,4.293
4224.739,34.825,42.558,4.366
4225.713,35.491,39.771,4.208
4226.685,36.695,40.484,3.481
4227.66,41.743,39.171,2.836
4228.633,34.725,39.204,3.221
4229.608,36.849,38.092,3.824
4230.581,36.556,37.334,3.785
4231.554,40.385,38.504,4.083
4232.53,36.31,40.689,4.609
4233.504,34.609,41.656,4.601
4234.48,37.769,42.369,4.309
4235.454,37.244,41.884,4.187
4236.431,34.313,42.408,4.285
4237.405,36.842,42.651,4.371
4238.38,40.95,40.216,4.325
4239.357,36.247,39.084,4.29
4240.333,33.312,38.833,4.189
4241.31,36.366,38.55,4.071
4242.286,37.176,38.714,3.932
4243.264,33.287,39.529,3.874
4244.241,35.661,39.597,3.86
4245.217,36.881,37.642,4.056
4246.196,35.047,41.17,4.92
4247.173,34.895,41.945,6.433
4248.152,35.383,40.527,6.976
4249.129,35.578,39.643,5.788
4250.109,38.116,39.713,4.951
4251.087,36.75,40.178,4.879
4252.065,40.019,40.021,4.722
4253.045,39.064,39.451,4.979
4254.024,33.813,40.099,5.413
4255.005,35.395,41.27,5.143
4255.984,37.278,41.212,4.789
4256.965,38.92,40.949,4.854
4257.944,37.382,38.909,5.019
4258.926,32.635,35.523,5.174
4259.906,33.127,36.853,5.178
4260.886,37.546,39.575,5.29
4261.869,33.679,37.091,4.948
4262.849,35.555,36.686,4.257
4263.832,34.183,35.545,4.16
4264.813,37.485,35.827,4.696
4265.796,34.707,35.792,4.823
4266.778,36.574,36.044,4.615
4267.759,36.484,38.384,5.009
4268.743,37.892,39.283,5.386
4269.725,37.863,38.381,5.093
4270.71,36.149,36.923,4.714
4271.692,36.5,34.6,4.681
4272.677,34.567,34.016,4.555
4273.66,34.623,36.752,4.339
4274.644,36.963,36.231,4.354
4275.629,37.914,34.463,4.413
4276.613,32.666,32.954,4.484
4277.599,37.789,33.081,4.836
4278.583,35.077,33.793,5.175
4279.57,33.955,33.044,5.159
4280.554,34.864,31.79,4.822
4281.539,34.285,31.28,4.567
4282.526,32.925,29.957,4.752
4283.511,30.755,27.475,4.956
4284.499,29.509,25.937,5.127
4285.485,30.128,26.33,5.021
4286.473,34.751,25.371,4.443
4287.459,34.37,29.914,4.338
4288.446,38.401,36.523,4.251
4289.434,42.579,39.731,3.661
4290.421,45.702,37.582,3.375
4291.411,45.951,32.148,3.76
4292.398,39.766,27.228,4.41
4293.388,29.764,25.246,4.977
4294.375,27.373,25.808,5.303
4295.363,32.242,26.38,4.952
4296.354,29.189,26.922,4.574
4297.342,28.698,28.697,4.543
4298.333,33.042,29.94,4.556
4299.322,30.468,31.516,4.519
4300.313,29.7,33.067,4.437
4301.303,31.137,33.241,4.027
4302.292,31.75,33.475,3.532
4303.284,34.031,35.465,3.535
4304.274,35.689,35.914,3.91
4305.267,35.387,36.339,4.166
4306.257,36.807,35.729,4.13
4307.25,39.638,34.93,4.064
4308.241,38.114,34.765,4.476
4309.232,35.554,35.014,5
4310.226,39.163,35.447,5.081
4311.217,35.971,37.741,4.832
4312.212,35.656,38.331,5.178
4313.204,35.905,38.147,6.018
4314.198,35.55,37.728,6.457
4315.191,36.357,36.769,6.459
4316.183,36.243,37.233,6.209
4317.179,35.508,36.206,5.801
4318.172,35.8,36.098,5.494
4319.168,36.433,36.461,5.339
4320.161,36.282,36.162,5.403
4321.157,35.986,35.771,5.638
4322.152,38.26,37.023,5.59
4323.146,34.06,36.72,4.83
4324.143,37.298,39.289,4.313
4325.137,39.746,41.109,4.201
4326.135,39.794,40.714,4.451
4327.13,38.425,40.759,4.846
4328.128,38.326,41.183,4.537
4329.124,39.709,42.539,4.035
4330.119,38.305,41.53,4.371
4331.118,36.007,38.754,4.791
4332.114,36.96,36.388,4.634
4333.113,33.66,35.848,4.89
4334.11,33.953,36.759,5.058
4335.11,37.845,37.447,4.733
4336.107,35.153,38.059,4.732
4337.107,36.732,40.964,4.615
4338.105,37.493,43.004,4.066
4339.103,36.673,40.014,3.773
4340.103,37.329,38.391,3.995
4341.102,36.556,39.426,4.153
4342.103,35.428,40.06,4.183
4343.101,36.652,40.156,4.695
4344.103,37.695,39.593,5.163
4345.102,36.597,38.594,4.789
4346.102,33.703,39.756,4.645
4347.104,37.878,38.7,5.325
4348.104,37.787,39.327,5.746
4349.107,38.478,40.03,5.714
4350.107,38.435,40.247,5.49
4351.11,40.937,41.034,4.871
4352.111,38.363,40.197,4.434
4353.113,36.249,41.276,4.592
4354.116,37.041,41.733,4.985
4355.118,38.243,42.192,4.947
4356.122,39.958,42.014,5.357
4357.125,40.384,40.116,9.64
4358.129,37.932,39.974,20.351
4359.132,38.303,40.27,29.66
4360.135,37.554,39.775,25.32
4361.14,40.151,40.266,13.943
4362.143,37.705,40.147,7.55
4363.149,35.067,36.823,6.433
4364.153,35.262,35.061,5.689
4365.159,36.507,36.898,5.037
4366.164,36.76,37.401,5.283
4367.168,34.986,37.419,5.323
4368.175,35.342,37.785,4.743
4369.18,38.242,37.727,4.552
4370.187,36.744,38.448,4.688
4371.193,37.135,39.27,4.819
4372.201,35.819,38.811,4.266
4373.207,36.102,39.601,4.134
4374.213,36.813,40.694,4.633
4375.221,36.013,38.999,5.494
4376.228,37.577,37.84,5.929
4377.237,38.409,40.125,5.727
4378.244,37.255,39.432,5.601
4379.254,37.924,38.686,5.371
4380.261,36.08,39.074,4.878
4381.269,32.937,38.666,4.844
4382.279,36.7,40.293,5.004
4383.287,37.876,39.943,4.344
4384.298,35.955,39.962,4.066
4385.307,38.469,40.823,4.322
4386.318,40.818,41.32,4.448
4387.327,37.743,40.637,4.523
4388.336,39.174,39.617,4.389
4389.348,35.611,37.373,4.172
4390.358,36.526,36.209,4.285
4391.37,37.917,36.201,4.692
4392.381,37.59,36.678,4.999
4393.393,37.417,37.472,4.951
4394.404,36.739,38.4,4.551
4395.415,36.959,37.577,4.457
4396.429,38.664,38.13,4.637
4397.44,38.182,39.817,4.35
4398.454,39.093,40.202,4.403
4399.466,33.836,38.829,4.75
4400.48,35.383,39.953,4.614
4401.493,37.946,41.34,4.835
4402.505,37.133,40.876,5.508
4403.52,35.011,40.804,5.95
4404.534,35.893,41.333,6.193
4405.549,35.986,40.728,6.643
4406.563,36.541,40.399,6.755
4407.579,37.862,38.343,6.579
